,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set boss items as tier 6,,,Range,Factor,,Cost,Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,0,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bleed,Poison,Frost,Stagger,Push,Move,Buff,Shaft,Repeat Action,,,,,,,,,,,,,,Average level ups required to equip items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two-handed weapon factor,,,1,1.3,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9,3,6,11,18,124,33,14,,,,,,,,,,,,,,4.0,3.9,3.8,3.9,3.7,3.8,3.9,3.8,3.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,2,1.5,,2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Stagger per item tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,1.6,,3,-5,,,,,,,,,,,,,,,,,,,,,,Base,,,,Tier 1,,,,Tier 2,,,,Tier 3,,,,,,,,,,,,,,,,,,,,,,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,,,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,Levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier,Action 1,Action 2,Action 3,SUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Tearstone Ring,120,3,26,13,24,14,TRUE,Core,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,Knight,10,,Knight,10,Ring,,50,25,0,25,0,25,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,20,14,20,20,20,20,14,20,20,14,,5,4,5,5,5,5,4,5,5,4,4,5,4.7,,20,12,20,20,20,20,12,20,20,12,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,12.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,12,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"After you suffer damage from an enemy attack, gain 1 ⬛stamina",
Chloranthy Ring,120,1,20,9,17,15,FALSE,Core,,,Tomb of Giants,,,,,,TRUE,TRUE,FALSE,TRUE,FALSE,,FALSE,,,0,,,0,Ring,,72,18,18,18,18,18,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,27,35,27,35,27,27,27,27,27,14,,6,7,6,7,6,6,6,6,6,4,4,7,6.0,,16,20,16,20,16,16,16,16,16,8,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,12.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,12,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V1: Characters in your node gain 3 ⬛stamina at the start of their activations (instead of 2)      V2: This character and other characters on the same node as this character gain 4 stamina at the start of their turns,
Hornet Ring,120,4,47,33,40,23,TRUE,Core,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,Assassin,8,,Assassin,8,Ring,,30,30,0,30,0,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,9,9,5,5,-99,9,9,9,5,5,,3,3,2,2,-99,3,3,3,2,2,2,3,2.6,,14,14,6,6,-99,14,14,14,6,6,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,12.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,12,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your attacks gain ORA-2,
Sanctum Priestess Tiara,120,3,24,11,22,12,TRUE,Phantoms,Invader,Fencer Sharron,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Ring,,54,27,0,0,27,27,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,27,27,20,27,14,20,20,20,20,14,,6,6,5,6,4,5,5,5,5,4,4,6,5.1,,28,28,20,28,12,20,20,20,20,12,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,12.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,12,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your magical attacks gain +1 damage,
Iron Round Shield,120,0,120,120,60,120,FALSE,Characters,,,Tomb of Giants,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,,TRUE,TRUE,Thief,2,TRUE,Thief,2,Shield,,20,10,0,10,10,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,2,5,0,0,2,0,2,5,0,0,,1,2,0,0,1,0,1,2,0,0,0,2,0.7,,2,4,0,0,2,0,2,4,0,0,,6.0,0.0,0.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,6.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,6,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,1🤺,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
Long Sword,105,0,81,70,42,81,TRUE,Core,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,Knight,10,TRUE,Knight,10,Weapon,,25,13,13,12,0,0,30,1,3,0,3,9,0,1,3,,3,9,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,2,2,2,5,2,5,5,2,5,,0,1,1,1,2,1,2,2,1,2,0,2,1.3,,0,2,2,2,4,2,4,4,2,4,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,5.5,1,0,5.5,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,2.0,1,-7,5.5,3.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,BLU,,,,,,,,,,,,,,,,,,4◼️,BLU,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poison Mist,103,1,61,47,38,49,FALSE,Core,,,Tomb of Giants,,,,,,TRUE,TRUE,FALSE,TRUE,FALSE,,FALSE,,,0,,,0,Spell,,27,16,0,11,16,0,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,5,9,2,2,5,0,5,9,2,5,,2,3,1,1,2,0,2,3,1,2,0,3,1.7,,6,8,2,2,4,0,6,8,2,4,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,5.5,1.3,-1,0.0,0.0,0.0,0.0,0,1,1,0,5,0,0,0,0,0,0,1,4.8,1.3,-5,0.0,0.0,0.0,0.0,0,1,1.5,0,5,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,1📏,1◼️,,,,,,,,,TRUE,,,,,,,,,1📏,3◼️,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pontiff's Left Eye,100,2,27,16,24,18,TRUE,Vordt,Mega Boss,Vordt of the Boreal Valley,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,FALSE,,0,Ring,,42,21,0,0,21,21,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,14,14,14,14,9,9,14,9,14,14,,4,4,4,4,3,3,4,3,4,4,3,4,3.7,,12,12,12,12,8,8,16,8,12,12,,10.0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"At the end of your activation, if you made two or more attack rolls, gain 1 Health",
Torch,96,1,96,96,0,96,FALSE,Characters,,,Painted World,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,,Sorcerer,5,,Sorcerer,5,Weapon,,0,0,0,0,0,0,18,0,1,0,2,5,0,,1,,2,5,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,4.2,1,0,3.5,0.0,0.0,0.0,0,1.2,1,0,0,0,0,0,0,0,0,1,3.6,1,-3,5.5,0.0,0.0,0.0,0,1.2,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,BLK,,,,,⚡,,,,,,,,,,,,,2◼️,BLU,,,,,⚡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sellsword Twinblade,95,0,95,95,79,95,FALSE,Characters,,,Painted World,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,Mercenary,7,TRUE,Mercenary,7,Weapon,,12,12,0,12,0,0,20,0,2,0,2,6,0,,2,,2,6,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,2,0,0,2,0,2,2,0,2,,0,1,0,0,1,0,1,1,0,1,0,1,0.5,,0,2,0,0,2,0,2,2,0,2,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,3.5,1,0,3.5,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,4.0,1,-3,3.5,3.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,BLK,,,,,,,,,,,,,,,,,,2◼️,BLK,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V2: [two-handed weapon with repeat 2 on both actions],TRUE
Sellsword Twinblade,95,0,95,95,79,95,TRUE,Characters,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,Mercenary,7,TRUE,Mercenary,7,Weapon,,12,12,0,12,0,0,20,0,2,0,2,6,0,,2,,2,6,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,2,0,0,2,0,2,2,0,2,,0,1,0,0,1,0,1,1,0,1,0,1,0.5,,0,2,0,0,2,0,2,2,0,2,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,3.5,1,0,3.5,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,4.0,1,-3,3.5,3.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,BLK,,,,,,,,,,,,,,,,,,2◼️,BLK,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V2: [two-handed weapon with repeat 2 on both actions],TRUE
Estoc,93,0,93,93,66,93,TRUE,Core,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,Assassin,8,TRUE,Assassin,8,Weapon,,14,14,0,14,0,0,28,1,2,0,3,8,0,1,2,,3,8,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,2,0,0,5,2,2,2,2,2,,1,1,0,0,2,1,1,1,1,1,0,2,0.9,,2,2,0,0,6,2,2,2,2,2,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,1,0,3.5,3.5,0.0,0.0,-3,1,1,0,0,0,0,0,0,0,0,1,2.5,1,-5,3.5,3.5,3.5,0.0,-3,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,BLK,BLK,,,-1,,,,,,,,,,,,,,3◼️,BLK,BLK,BLK,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spear,91,0,91,91,0,91,FALSE,Core,,,Sunless City,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE,TRUE,Herald,3,TRUE,Herald,3,Weapon,,0,0,0,0,0,0,20,0,2,0,2,6,0,,2,,2,6,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,4.6,1.3,0,3.5,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,2.6,1.3,-5,3.5,0.0,0.0,0.0,3,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,1📏,,BLK,,,,,,,,,,,,,,,,,1📏,3◼️,BLK,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Tearstone Ring,90,2,53,44,45,38,TRUE,Painted World,,,,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,,,0,,,0,Ring,,20,20,0,0,0,20,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,5,5,5,5,5,5,2,2,5,2,,2,2,2,2,2,2,1,1,2,1,1,2,1.7,,6,6,6,6,6,6,2,2,6,2,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,9.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,9,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All of your attacks gain +1 damage while you have four or more damage cubes on your endurance bar,
Bellowing Dragoncrest Ring,90,4,24,14,20,13,FALSE,Characters,Transposed,,Painted World,Transposed,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,,Sorcerer,5,,Sorcerer,5,Ring,,45,30,0,0,30,15,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,14,14,20,20,9,9,-99,9,14,9,,4,4,5,5,3,3,-98,3,4,3,3,5,3.8,,16,16,20,20,8,8,-97,14,16,8,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,9.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,9,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When you use your Spell Fury heroic ability, your attack deals +1 damage",
Great Swamp Ring,90,2,33,23,26,26,FALSE,Characters,,,Tomb of Giants,,,Sunless City,,,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE,,Pyromancer,6,,Pyromancer,6,Ring,,35,20,0,15,20,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,9,9,9,5,9,5,9,9,9,5,,3,3,3,2,3,2,3,3,3,2,2,3,2.7,,8,8,8,6,8,4,8,8,8,4,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,9.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,9,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When you use the Explosive Crit heroic ability, instead of gaining 1 BLK, gain 1 BLU",
Sacred Chime,85,0,85,85,61,85,FALSE,Characters,,,Tomb of Giants,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,,TRUE,TRUE,Cleric,4,TRUE,Cleric,4,Weapon,,14,14,0,0,0,14,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,2,2,2,2,0,2,2,0,2,2,,1,1,1,1,0,1,1,0,1,1,0,1,0.8,,2,2,2,2,0,2,2,0,2,2,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,4.5,1.5,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,3,0,1,4.0,1.5,-5,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,6,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,2📏,,,,,,,,,,,,,,,1,,,,2📏,3◼️,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,ACTION 1: 1 character within range gains 1 🟥health       ACTION 2: 1 character within range gains 3 🟥health,
Kite Shield,84,0,84,84,0,84,FALSE,Core,,,Sunless City,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE,TRUE,Herald,3,TRUE,Herald,3,Shield,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,,8.4,4.2,0.0,0.0,0,0,0,3.5,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Kite Shield,84,0,84,84,0,84,TRUE,Core,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,Knight,10,TRUE,Knight,10,Shield,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,,8.4,4.2,0.0,0.0,0,0,0,3.5,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Round Shield,84,0,84,84,0,84,FALSE,Core,,,Sunless City,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE,TRUE,Warrior,9,TRUE,Warrior,9,Shield,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,,8.4,4.2,0.0,0.0,0,0,0,3.5,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Wooden Shield,84,0,84,84,0,84,FALSE,Characters,,,Tomb of Giants,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,,TRUE,TRUE,Cleric,4,TRUE,Cleric,4,Shield,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,,8.4,4.2,0.0,0.0,0,0,0,3.5,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plank Shield,84,0,84,84,0,84,FALSE,Characters,,,Painted World,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,Deprived,1,TRUE,Pyromancer,6,Shield,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,,8.4,4.2,0.0,0.0,0,0,0,3.5,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
